feature,importance
hour_cos,125168957092.19531
hour,54252953823.0
temperature_degrees_Celsius,34798009970.0
station,30787766001.0
hour_sin,23579219353.0
latitude,13927948074.0
relativehumidity,13267342412.601562
longitude,7331834445.6015625
day_of_year,3769096697.296875
elevation,3418087677.0
day_of_year_sin,2594083094.0
day_of_year_cos,1751106719.0
minute,1693043829.0
month,999815962.5
precipitation_mm,653855879.0
day,630958695.0
installation_height,299636188.0
day_of_week,238807595.1015625
month_cos,199456178.0
year,111896159.0
month_sin,70066943.0
