feature,importance
solar_elevation,120897984310.0
clearsky_ghi,75293559933.0
solar_zenith,61529146105.0
cos_zenith,21677660725.0
relativehumidity,19525951412.0
station,16823510981.0
temperature_degrees_Celsius,7856629419.0
day_of_year,3188273045.0
elevation,3168378892.0
longitude,2314923294.0
month,1589288817.0
latitude,1333795039.0
hour,1210013436.0
precipitation_mm,1066654121.0
day_of_year_cos,937467448.0
day_of_year_sin,871568296.0
clearsky_dni,783312401.0
clearsky_dhi,702154126.0
day,612756630.0
hour_sin,579952308.0
year,223979319.0
day_of_week,184151903.0
hour_cos,127883685.0
month_cos,103339641.0
month_sin,83668053.0
installation_height,73384619.0
minute,6419222.0
is_daylight,811058.0
