feature,importance
hour_cos,36879000.0
hour,11929540.0
hour_sin,6426336.0
station,4003821.75
temperature_degrees_Celsius,3535606.25
longitude,2647761.75
latitude,2238921.25
relativehumidity,1683753.375
installation_height,1610474.5
month_cos,1468597.5
month,1437945.875
precipitation_mm,1053171.375
day_of_year,665472.3125
minute,631023.9375
elevation,548592.5625
day_of_year_cos,547964.625
day_of_year_sin,512299.90625
month_sin,460534.8125
year,360399.15625
day,210853.9375
day_of_week,151589.921875
